Description of Factor,Value,Unit,Assumptions
Average number of pounds of CO2 equivalent per person per year that could be saved by recycling newspaper,-113.14,lbs CO2e/year/person avoided from recycling newspaper,
Average number of pounds of CO2 equivalent per person per year that could be saved by recycling magazines,-27.46,lbs CO2e/year/person avoided from recycling magazines,
Average total emissions for household of one person,,lbs CO2e/year,"The ""average"" figure here is the sum of the average values given above, excluding fuel oil and propane."
Average variable cost per mile to drive ,0.1964,dollars/mile,
Increase in fuel efficiency from performing regular maintenance on your vehicles ,0.04,%,"Properly inflating tires: Assumes an increase in fuel efficiency of 3 percent. Keeping your engine properly tuned: Assumes an increase in fuel efficiency of 4 percent. Source: Environmental Protection Agency and Department of Energy, Fuel Economy Website, 2011."
Price per gallon of gasoline,$3.68,dollars/gallon gasoline,
Savings per degree of setback (heating season),3%,%,
Percentage of natural gas allotted to heating ,0.63,%,"2,873 billion cubic feet of natural gas consumed for space heating/4,580 billion cubic feet total natural gas consumption"
Percentage of electricity source allotted to heating ,0.09,%,"120 billion kWh of electricity consumed for space heating/1,286 billion kWh total electricity consumption"
Percentage of fuel oil source allotted to heating ,0.87,%,"3,675 million gallons of fuel oil consumed for space heating/4,214 million gallons total fuel oil consumption"
Percentage of propane source allotted to heating ,0.70,%,"3,754 million gallons of LPG (propane) consumed for space heating/5,384 million gallons total LPG consumption"
Percent of total electricity emissions accounted for by air conditioning ,0.14,%,"186 billion kWh of electricity consumed for air conditioning/1,286 billion kWh total electricity consumption"
Savings per degree of setback (cooling season) ,6%,%,
Annual energy savings from enabling sleep feature on computer and monitor ,107.1, kWh,Enabling your computer's power management features can save between 38 and 187 kWh per year.
"Average annual unit computer energy (sleep feature enabled, computer turned off at night): ",70.7, kWh,
"Average annual unit computer energy (sleep feature not enabled, computer turned off at night): ",143.0, kWh,
"Average annual unit monitor energy (sleep feature enabled, monitor turned off at night):",31.7, kWh,
"Average annual unit monitor energy (sleep feature not enabled, monitor turned off at night): ",66.5, kWh,
Average estimated kWh per load,0.96,kWh,"Assumes 295 loads/yr, 289 kWh/yr for machine energy and dryer energy. Data is being referenced in support of assessing energy savings from washing clothes in cold water only so water heating energy is excluded - see 'Personal GHG Calculator' line 137"
Average energy consumption of a household dryer ,769,kWh/year,
Average premium of green power per kWh,$0.02,dollars,
Annual kWh savings per lamp ,33,kWh,Replacing 43 watt incandescent light bulbs with 13 watt compact fluorescents: Assumes that lights are on for 3 hours per day.
Annual energy cost saving per lamp,$4.00,dollars,Replacing 43 watt incandescent light bulbs with 13 watt compact fluorescents: Assumes that lights are on for 3 hours per day.
Average kWh/year ENERGY STAR refrigerator,488,kWh/year,
Average kWh/year old refrigerator ,810,kWh/year,2000 refrigerator with a unit energy consumption of 704 kWh/yr multiplied by a 1.1507 degradation factor. - based on AHAM data
Average kWh savings for refrigerator replacement,322,kWh/year,Difference between 2000 refrigerator with a unit energy consumption of 704 kWh/yr multiplied by a 1.1507 degradation factor and an ENERGY STAR refrigerator (488 kWh/year).
Average emission savings for natural gas from replacing boiler/furnace,728.0,lbs/year,Replacing a 15 year old standard 80 AFUE boiler or 78 AFUE furnace with current ENERGY STAR boiler at 90 AFUE or Furnace at 95 AFUE in the North and 90 AFUE in the South
Average emission savings for fuel oil from replacing boiler/furnace,1056.0,lbs/year,Replacing a 20 year old standard 80 AFUE boiler or 78 AFUE furnace with current ENERGY STAR boiler at 87 AFUE or Furnace at 85 AFUE
Annual energy cost savings from switching to a boiler,$78.34,dollars,Annual cost savings of replacing a standard gas/oil boiler/furnace with ENERGY STAR boiler/furnace
Average annual energy savings from switching single pane windows to low-e ENERGY STAR windows ,"25,210,000",BTUs,"Assumes 2000 square-foot house, 300 square feet of glass. Source: ENERGY STAR. Methodology based on RESFEN 3.1 calculations performed by Lawrence Berkeley National Laboratory (LBNL), 2005."
Average annual energy cost savings from changing to ENERGY STAR windows (ranges from $150-$500 depending on climate),$150.00,dollars,$150 is low end of the $150-$500 range.
Ratio of CO2 to Carbon,3.67,"Ratio of CO2 to C, 44/12",
Btu per Quadrillion Btu,1000000000000000,Btu/QBtu ,
Conversion from teragrams to pounds,"2,204,622,620",lbs/teragram,
Conversion from metric tons to lbs,"2,204.62",lbs / metric ton,
Conversion from thousand cubic feet of natural gas to therms,10,therms/thousand cf,"1 therm = 100,000 Btu"
Conversion from liters to gallons,0.2642,gallons/liter,
Energy content per 1000 cubic feet of natural gas,"1,023,000",Btu/1000 cf natural gas,HHV
Energy content per kWh of electricity,3412,Btu/kWh ,HHV
MMBtu per barrel of fuel oil,5.825,MMBtu/barrel,
Fuel oil conversion - barrels per liter,0.00629,barrels/L,
Energy content per gallon of fuel oil,"138,691.09",Btu/gallon fuel oil,HHV
MMBtu per barrel of propane,3.836,MMBtu/barrel,
Propane conversion - barrels per liter,0.00629,barrels/liter,
Energy content per gallon of propane,"91,335.94",Btu/gallon propane,HHV
Average members/household,2.57,people,
